Year,Round,GridPercentile,TrackTemp,AirTemp,TotalLaps,SafetyCarLaps,DegradationRate,First_Compound,Num_Stops,First_Pit_Lap
2019,6,0.5,32.72949640287769,22.754676258992802,78,96,0.1387435897435894,SOFT,1,41.0
2019,6,0.3,32.72949640287769,22.754676258992802,78,96,3.8823999999999996,SOFT,1,12.0
2019,6,0.65,32.72949640287769,22.754676258992802,78,96,0.05251020408163252,SOFT,1,51.0
2019,6,0.6,32.72949640287769,22.754676258992802,78,96,0.06593478260869567,MEDIUM,1,48.0
2019,6,0.8,32.72949640287769,22.754676258992802,78,96,2.7961,MEDIUM,1,12.0
2019,6,0.55,32.72949640287769,22.754676258992802,78,96,1.9806249999999999,MEDIUM,1,10.0
2019,6,0.25,32.72949640287769,22.754676258992802,78,96,3.8141000000000007,SOFT,1,12.0
2019,6,0.95,32.72949640287769,22.754676258992802,78,96,1.3062222222222222,MEDIUM,1,11.0
2019,6,0.85,32.72949640287769,22.754676258992802,78,96,-0.35520512820512845,MEDIUM,1,41.0
2019,6,0.7,32.72949640287769,22.754676258992802,78,96,0.11451111111111124,SOFT,1,47.0
2019,6,1.0,32.72949640287769,22.754676258992802,78,96,0.008200000000000074,MEDIUM,1,22.0
2019,6,0.9,32.72949640287769,22.754676258992802,78,96,0.2563720930232558,SOFT,1,45.0
2019,6,0.75,32.72949640287769,22.754676258992802,78,96,2.9617500000000003,MEDIUM,2,10.0
2019,7,0.25,51.098412698412695,29.368253968253967,70,0,1.4385000000000001,SOFT,1,8.0
2019,7,0.75,51.098412698412695,29.368253968253967,70,0,0.5478999999999999,MEDIUM,1,12.0
2019,7,0.15,51.098412698412695,29.368253968253967,70,0,0.3170937500000002,MEDIUM,1,34.0
2019,7,0.85,51.098412698412695,29.368253968253967,70,0,0.040136363636363755,HARD,1,46.0
2019,7,0.0,51.098412698412695,29.368253968253967,70,0,-0.09850000000000024,HARD,1,40.0
2019,7,0.65,51.098412698412695,29.368253968253967,70,0,,MEDIUM,1,2.0
